"mintemperaturef","events"
"60","Rain"
"57","Rain"
"55","Rain"
"53","Rain"
"37","Rain"
"44","Rain"
"51","Rain"
"48","Rain"
"46","Rain"
"41","Rain"
"55","Rain"
"55","Rain"
"44","Rain"
"28","Rain"
"42","Rain"
"48","Rain"
"48","Rain"
"50","Rain"
"57","Rain"
"51","Rain"
"57","Rain"
"59","Rain"
"44","Rain"
"51","Rain"
"57","Rain"
"55","Rain"
"55","Rain"
"60","Rain"
"53","Rain"
"51","Rain"
"55","Rain"
"51","Rain"
"59","Rain"
"59","Rain"
"55","Rain"
"57","Rain"
"59","Rain"
